Price,Date,Close,High,Low,Open,Volume
Ticker,,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
0,2007-10-05,32.38558578491211,35.25071281473011,26.768006081918546,28.908803575805525,855215656
1,2007-10-08,30.7276611328125,33.48011239976731,30.53450581530477,33.48011239976731,126671715
2,2007-10-09,32.820167541503906,33.10989833395582,29.085847421082843,30.743755523911574,116725709
3,2007-10-10,33.12599182128906,33.802033183580555,32.836261056413925,33.673262256712725,67931378
4,2007-10-11,36.828128814697266,38.63090483962656,32.83627042359523,38.63090483962656,106320954
5,2007-10-12,36.58668518066406,37.95486273117044,35.73358711068223,36.05551124021314,99410791
6,2007-10-15,37.069576263427734,37.568561349828464,36.7476520914438,37.343212682889295,41814972
7,2007-10-16,40.85218048095703,41.49603311559861,36.860322090982606,37.11785965173882,138614496
8,2007-10-17,44.039241790771484,45.06939660809636,34.15616494836811,36.69936743124684,204876259
9,2007-10-18,42.49398422241211,48.111560759072674,40.67511417510673,44.74745261959122,146617799
10,2007-10-19,42.3491325378418,44.071427583227674,40.24052677272194,41.52822335000101,110266491
11,2007-10-22,41.785762786865234,43.08955374685492,40.401486429232264,41.4960319475759,72253405
12,2007-10-23,44.76356887817383,45.1659741058401,42.81592495644339,42.81592495644339,74594921
13,2007-10-24,44.0714225769043,46.19612256133313,43.57243759006581,45.713232033332105,63055170
14,2007-10-25,43.97483825683594,45.00499704352196,38.840147513357465,42.57446765712592,34522489
15,2007-10-26,45.29474639892578,46.01907586459138,43.540257724429615,44.74747350053895,62370025
16,2007-10-29,46.212215423583984,47.32285530350202,45.80981030279846,46.03515891698836,43657697
17,2007-10-30,47.242374420166016,48.513971985813654,45.455693058727526,46.839969298180996,79921711
18,2007-10-31,48.224246978759766,49.28659924856109,47.32286114351216,47.48382321169034,44655368
19,2007-11-01,47.14580154418945,49.7855812813992,46.759495189772004,49.415369387691605,50632492
20,2007-11-02,47.9988899230957,48.288625088129564,45.06937992248777,45.4395961075033,32001693
21,2007-11-05,48.98078155517578,50.05922854907698,47.6769858641454,47.966721150847675,38833135
22,2007-11-06,49.62460708618164,52.763366735148516,48.94856567312924,49.833856856171174,81880281
23,2007-11-07,48.90028762817383,51.25033203328233,47.80574645821063,50.54210156630636,33593141
24,2007-11-08,48.063262939453125,49.367057715518854,47.00091552165753,47.64476350004845,27990521
25,2007-11-12,49.22221755981445,50.09141456079059,45.34302871190359,46.61463092326202,35153735
26,2007-11-13,50.39723587036133,51.41129604615054,48.46569101500069,50.05921726722347,43830531
27,2007-11-14,49.73729705810547,51.990766234240375,49.47975510386447,51.28253131804759,36738579
28,2007-11-15,50.574317932128906,51.459609694631986,49.624639567620086,50.67089346876008,29242252
29,2007-11-16,50.22018051147461,51.3630094977053,49.6407144215067,50.34894929823112,18895294
30,2007-11-19,52.03904342651367,53.922300300555044,50.97669563416987,51.363001937578936,40716718
31,2007-11-20,51.23423385620117,53.2784528089781,50.60648010098517,51.82979432744132,26342171
32,2007-11-21,47.242374420166016,51.845887269124596,46.09954125390355,51.540061996241,26814499
33,2007-11-22,45.61665344238281,48.64274334234919,43.63682118776109,46.74338774281182,34096185
34,2007-11-23,48.64274597167969,48.932476791318976,45.9063867277806,48.61055268808086,27664090
35,2007-11-26,49.029056549072266,50.445521853502896,48.64275021134144,50.445521853502896,20159123
36,2007-11-27,47.82184982299805,49.866069304736214,47.322869074569425,49.866069304736214,20573198
37,2007-11-28,47.11360168457031,49.09343839450024,46.79167758427277,48.868089777741936,16435311
38,2007-11-29,45.842018127441406,48.546180523641794,45.24645748648399,48.28864291119467,25530967
39,2007-11-30,47.61259078979492,47.902321631919094,46.0351634347852,46.67901169122798,18437721
40,2007-12-03,48.28863525390625,48.88419580042367,47.82184349319311,48.19205538977128,16851227
41,2007-12-04,47.660888671875,49.01297204450488,47.30677118224562,48.61056679864794,14008727
42,2007-12-05,49.56024169921875,49.73730263129506,47.644795304699095,47.74137081937601,27725290
43,2007-12-06,48.64274597167969,51.39519530781554,48.01499222381532,50.63867279193095,24104710
44,2007-12-07,48.43349838256836,49.64071393349724,47.56430580572498,48.948577890906485,11742386
45,2007-12-10,48.481788635253906,49.077344791066345,47.85403482633609,48.90028826361544,8330010
46,2007-12-11,48.2564582824707,49.19003775318581,48.01501509005936,48.916401261844186,11685950
47,2007-12-12,48.224246978759766,48.65884543611596,47.32286114351216,47.64478527986853,16342131
48,2007-12-13,47.41944122314453,48.93248655687527,47.24238467757807,48.288638221904904,14620172
49,2007-12-14,46.952640533447266,47.69306859813399,46.71119745360107,47.25847018113583,10991851
50,2007-12-17,44.11971664428711,47.4838257990707,43.4597695089709,47.22628385612689,19355678
51,2007-12-18,43.92655563354492,45.39130859899052,42.55837815530719,43.62072598009463,21607783
52,2007-12-19,43.12174606323242,45.72933229096696,42.7515342009978,45.34302160301544,19526912
53,2007-12-20,42.68715286254883,44.03923606971298,42.493997494900256,43.68511862341991,17105204
54,2007-12-24,43.99094772338867,44.68308377890754,42.97688314856657,43.331000590061926,16711519
55,2007-12-26,45.326934814453125,45.874207653938115,44.23239350185918,44.23239350185918,20930094
56,2007-12-27,45.64885711669922,46.90436046401697,45.26254637919721,46.26051214576419,44565277
57,2007-12-28,46.00297546386719,46.19613083639226,45.06939189105865,45.552278139183365,18354518
58,2007-12-31,46.340972900390625,46.61460918914251,45.777605868525995,46.35707172112541,11982308
59,2008-01-01,47.19410705566406,47.6287056885371,46.14785318996617,46.58245182283922,16687746
